ID,Prediction
1,0.07800951997971667
2,0.11792613311866243
3,0.6128557750680925
4,0.14170819167590143
5,0.10426754721147886
6,0.09755561913340317
7,0.650153688777925
8,0.08664409052363493
9,0.07623079517781661
10,0.5129117043433834
11,0.10724388610914751
12,0.6166025841034535
13,0.6390925258873983
14,0.14152515299891288
15,0.656090909915215
16,0.5361838930398388
17,0.1627999205000387
18,0.1283947975081235
19,0.14313007898125107
20,0.2723416360648172
21,0.5054156972557303
22,0.0800380231621961
23,0.10748496752580014
24,0.5890002760757044
25,0.08722513233187648
26,0.10321375908134575
27,0.7199656665242439
28,0.35234409942470135
29,0.08590048017523332
30,0.17224024559370663
31,0.0938588837524046
32,0.40175738028134816
33,0.10636172300392183
34,0.2276051653432408
35,0.15409206908211848
36,0.07328089275009851
37,0.5804903936786169
38,0.5578584259825554
39,0.48389145695153735
40,0.10499540371135635
41,0.6646770390704322
42,0.5572130006630065
43,0.5210794065304749
44,0.09695750274686425
45,0.06753425509978862
46,0.5168578360541914
47,0.5089420175823672
48,0.5417832507272994
49,0.24369195576052777
50,0.06797997579079001
51,0.10111071633566435
52,0.5683238811629409
53,0.09408155909243728
54,0.22807728410365052
55,0.09620156209336504
56,0.1003751248904491
57,0.24139387277707644
58,0.5619272313718591
59,0.7480347832802868
60,0.5537058778520457
61,0.574279398424474
62,0.2829055510076963
63,0.134065264034446
64,0.12915269658918113
65,0.11723837237943588
66,0.3941225144610603
67,0.35903223067062356
68,0.10874729740714129
69,0.0799780554980178
70,0.15594971152146495
71,0.6578687132866378
72,0.5383865019791725
73,0.30335878672764116
74,0.2618336681163891
75,0.08922441698799244
76,0.6201104809391113
77,0.5094470738437942
78,0.08318609559219266
79,0.6697464538667988
80,0.09066202042861175
81,0.6144021892112143
82,0.3599903322799902
83,0.12368919741389378
84,0.6721303842373874
85,0.28304842851043643
86,0.1483003243055724
87,0.5523768456915819
88,0.26716153364242656
89,0.5661550178849347
90,0.29504398157332673
91,0.20072941999846106
92,0.48260458186489974
93,0.11765127640609303
94,0.10875247992418585
95,0.4992771877702779
96,0.07503669548570374
97,0.07467502739266021
98,0.5696964067942288
99,0.08191320818295694
100,0.5924460046115512
101,0.2691060574368218
102,0.08202190454779515
103,0.39892234518342395
104,0.5482598063106832
105,0.15053168440717157
106,0.16458608485404191
107,0.09004368166322001
108,0.07462280845966672
109,0.5626028015757137
110,0.09831194074312291
111,0.0802621078788204
112,0.13362365782357039
113,0.6133633843862653
114,0.5650658231971015
115,0.5948338701314393
116,0.07211491678163376
117,0.5350335375441433
118,0.08977366445889025
119,0.5436902035513876
120,0.5468102986219101
121,0.10161818262048289
122,0.12400237019338269
123,0.18859322071344842
124,0.5769652876569483
125,0.6983253092544499
126,0.5759937499067448
