Id,Predicted
0.0,0.0
1.0,0.2
2.0,0.0
3.0,0.2
4.0,0.2
5.0,0.0
6.0,0.8
7.0,0.0
8.0,0.0
9.0,0.2
10.0,0.2
11.0,0.4
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.2
16.0,0.2
17.0,0.2
18.0,0.0
19.0,0.4
20.0,0.4
21.0,0.6
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.2
26.0,0.2
27.0,0.4
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.2
32.0,0.0
33.0,0.2
34.0,1.0
35.0,0.2
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.6
42.0,0.4
43.0,0.2
44.0,0.2
45.0,0.2
46.0,0.2
47.0,0.0
48.0,0.0
49.0,0.2
50.0,0.4
51.0,0.6
52.0,0.0
53.0,0.0
54.0,0.0
55.0,0.0
56.0,0.4
57.0,0.0
58.0,0.0
59.0,0.4
60.0,0.0
61.0,0.2
62.0,0.0
63.0,0.0
64.0,0.8
65.0,0.0
66.0,0.4
67.0,0.0
68.0,0.0
69.0,0.0
70.0,0.0
71.0,0.6
72.0,0.2
73.0,0.0
74.0,0.0
75.0,0.0
76.0,0.0
77.0,0.2
78.0,0.0
79.0,0.4
80.0,0.4
81.0,0.0
82.0,0.4
83.0,0.4
84.0,0.0
85.0,0.0
86.0,0.6
87.0,0.4
88.0,0.2
89.0,0.0
90.0,0.4
91.0,0.6
92.0,0.4
93.0,0.0
94.0,0.8
95.0,0.0
96.0,0.0
97.0,0.0
98.0,0.6
99.0,0.0
100.0,0.4
101.0,0.0
102.0,0.2
103.0,0.0
104.0,0.0
105.0,0.0
106.0,0.0
107.0,0.0
108.0,0.0
109.0,0.0
110.0,0.8
111.0,0.6
112.0,0.0
113.0,0.2
114.0,0.0
115.0,0.2
116.0,0.0
117.0,0.0
118.0,0.2
119.0,0.2
120.0,0.0
121.0,0.0
122.0,0.0
123.0,0.0
124.0,0.6
125.0,0.0
126.0,0.8
127.0,0.0
128.0,0.4
129.0,0.6
130.0,0.8
131.0,0.0
132.0,0.2
133.0,0.0
134.0,0.0
135.0,0.0
136.0,0.6
137.0,0.0
138.0,0.0
139.0,0.4
140.0,0.6
141.0,0.2
142.0,0.6
143.0,0.2
144.0,0.6
145.0,0.2
146.0,0.4
147.0,0.0
148.0,0.4
149.0,0.0
150.0,0.4
151.0,0.4
152.0,0.4
153.0,0.0
154.0,0.2
155.0,0.4
156.0,0.0
157.0,0.4
158.0,0.2
159.0,0.0
160.0,0.2
161.0,0.0
162.0,1.0
163.0,0.0
164.0,0.4
165.0,0.0
166.0,0.4
167.0,0.6
168.0,0.6
169.0,0.0
170.0,0.0
171.0,0.2
172.0,0.0
173.0,0.0
174.0,0.2
175.0,0.4
176.0,0.4
177.0,0.4
178.0,0.4
179.0,0.8
180.0,0.2
181.0,0.2
182.0,0.4
183.0,0.4
184.0,0.0
185.0,0.2
186.0,0.0
187.0,0.0
188.0,1.0
189.0,0.4
190.0,0.0
191.0,0.0
192.0,0.8
193.0,0.4
194.0,0.4
195.0,0.0
196.0,0.8
197.0,0.0
198.0,0.0
199.0,0.0
200.0,0.0
201.0,0.0
202.0,0.2
203.0,0.0
204.0,0.0
205.0,0.6
206.0,0.4
207.0,0.0
208.0,0.0
209.0,0.8
210.0,0.4
211.0,0.0
212.0,0.2
213.0,0.0
214.0,0.6
215.0,0.0
216.0,0.4
217.0,0.0
218.0,0.0
219.0,0.2
220.0,0.0
221.0,0.8
222.0,0.0
223.0,0.8
224.0,0.4
225.0,0.8
226.0,0.0
227.0,0.6
228.0,0.0
229.0,0.0
230.0,0.4
231.0,0.8
232.0,0.2
233.0,0.0
234.0,1.0
235.0,0.0
236.0,0.2
237.0,0.6
238.0,0.0
239.0,0.0
240.0,0.0
241.0,0.2
242.0,0.0
243.0,0.2
244.0,0.8
245.0,0.4
246.0,0.2
247.0,0.2
248.0,0.8
249.0,0.0
250.0,0.0
251.0,0.8
252.0,0.4
253.0,0.0
254.0,0.0
255.0,0.0
256.0,0.0
257.0,0.2
258.0,0.0
259.0,0.2
260.0,0.0
261.0,0.0
262.0,0.8
263.0,0.2
264.0,0.4
265.0,0.0
266.0,0.0
267.0,0.0
268.0,0.4
269.0,0.6
270.0,0.6
271.0,0.0
272.0,0.4
273.0,0.6
274.0,0.8
275.0,1.0
276.0,0.0
277.0,0.2
278.0,0.2
279.0,0.2
280.0,0.4
281.0,0.2
282.0,0.0
283.0,0.0
284.0,0.4
285.0,0.0
286.0,1.0
287.0,0.0
288.0,0.2
289.0,0.0
290.0,0.2
291.0,0.2
292.0,0.2
293.0,0.2
294.0,0.4
295.0,0.6
296.0,0.6
297.0,0.0
298.0,0.0
299.0,0.0
300.0,0.0
301.0,0.8
302.0,0.0
303.0,0.6
304.0,0.0
305.0,0.2
306.0,0.0
307.0,0.6
308.0,0.0
309.0,0.4
310.0,0.0
311.0,0.4
312.0,0.2
313.0,0.0
314.0,0.0
315.0,0.6
316.0,0.0
317.0,0.6
318.0,0.0
319.0,0.0
320.0,0.8
321.0,0.0
322.0,0.2
323.0,0.4
324.0,0.0
325.0,0.8
326.0,0.0
327.0,0.2
328.0,0.4
329.0,0.0
330.0,0.2
331.0,0.4
332.0,0.6
333.0,0.4
334.0,0.4
335.0,0.4
336.0,0.2
337.0,0.6
338.0,0.6
339.0,0.4
340.0,0.2
341.0,0.4
342.0,0.0
343.0,0.0
344.0,0.0
345.0,0.4
346.0,0.0
347.0,0.6
348.0,0.4
349.0,0.2
350.0,0.0
351.0,0.4
352.0,0.0
353.0,0.2
354.0,0.0
355.0,0.0
356.0,0.6
357.0,0.4
358.0,0.4
359.0,0.2
360.0,0.0
361.0,0.0
362.0,0.2
363.0,0.4
364.0,0.0
365.0,0.6
366.0,1.0
367.0,0.6
368.0,0.2
369.0,0.2
370.0,0.6
371.0,0.4
372.0,0.4
373.0,0.0
374.0,0.4
375.0,0.2
376.0,0.4
377.0,0.0
378.0,0.0
379.0,1.0
380.0,0.6
381.0,0.0
382.0,0.0
383.0,0.0
384.0,0.6
385.0,0.6
386.0,0.0
387.0,0.8
388.0,0.6
389.0,0.8
390.0,0.8
391.0,0.0
392.0,0.6
393.0,0.0
394.0,0.4
395.0,0.2
396.0,0.2
397.0,0.4
398.0,0.0
399.0,0.2
400.0,0.4
401.0,0.0
402.0,0.0
403.0,0.0
404.0,0.8
405.0,0.4
406.0,0.0
407.0,0.0
408.0,0.4
409.0,0.0
410.0,0.0
411.0,0.0
412.0,0.8
413.0,0.2
414.0,0.0
415.0,0.2
416.0,0.0
417.0,0.8
418.0,0.4
419.0,0.4
420.0,0.0
421.0,0.0
422.0,0.0
423.0,0.0
424.0,0.4
425.0,0.0
426.0,0.0
427.0,0.4
428.0,0.8
429.0,0.0
430.0,0.4
431.0,0.0
432.0,0.2
433.0,0.4
434.0,0.0
435.0,0.4
436.0,0.0
437.0,0.0
438.0,0.0
439.0,0.0
440.0,0.6
441.0,0.0
442.0,0.0
443.0,0.4
444.0,0.2
445.0,0.6
446.0,1.0
447.0,0.0
448.0,0.2
449.0,0.0
450.0,0.2
451.0,0.8
452.0,0.0
453.0,0.4
454.0,0.4
455.0,0.0
456.0,0.2
457.0,0.0
458.0,0.2
459.0,0.0
460.0,0.2
461.0,0.2
462.0,0.0
463.0,0.0
464.0,0.2
465.0,0.6
466.0,0.0
467.0,0.2
468.0,0.4
469.0,0.0
470.0,0.0
471.0,0.0
472.0,0.6
473.0,0.0
474.0,0.2
475.0,0.4
476.0,0.0
477.0,0.2
478.0,0.0
479.0,0.4
480.0,0.2
481.0,0.4
482.0,0.2
483.0,0.6
484.0,0.4
485.0,0.0
486.0,0.2
487.0,0.2
488.0,1.0
489.0,0.8
490.0,0.0
491.0,0.2
492.0,0.0
493.0,0.0
494.0,1.0
495.0,0.8
496.0,0.2
497.0,0.6
498.0,0.4
499.0,0.4
500.0,0.8
501.0,0.8
502.0,0.0
503.0,0.2
504.0,0.2
505.0,0.0
506.0,0.2
507.0,0.6
508.0,0.4
509.0,0.2
510.0,0.0
511.0,0.0
512.0,0.2
513.0,0.0
514.0,0.4
515.0,0.4
516.0,0.0
517.0,0.0
518.0,0.2
519.0,0.0
520.0,0.8
521.0,0.2
522.0,1.0
523.0,0.0
524.0,0.2
525.0,0.0
526.0,0.0
527.0,0.4
528.0,0.0
529.0,0.8
530.0,0.0
531.0,0.6
532.0,0.0
533.0,0.4
534.0,0.6
535.0,0.2
536.0,0.0
537.0,0.4
538.0,0.0
539.0,0.6
540.0,0.2
541.0,0.0
542.0,0.0
543.0,0.2
544.0,0.0
545.0,0.4
